id,Item name*,Category,Current stock,Selling price,Sales tax included,Purchase price,Purchase tax included,HSN,GST tax rate (%),MRP
844194b7-ee96-43a4-8907-f7e5f57dd8fe,7 Star Chawal 38.00,,25,38,With tax,32.1,With tax,,0,38
4e935319-fc4c-4b62-8540-5ec7b5b0d1bd,AD Baby oil,,6,350,With tax,281.25,With tax,,0,375
cc0e5809-1d5f-46f4-adc0-89f365c84618,AD baby oil 100 ml,,6,120,With tax,101.25,With tax,,0,135
e178603d-5dda-41d3-8c13-2a02baeb7a5a,AD baby oil 200ml,,6,220,With tax,180,With tax,,0,240
70644e6a-3970-4940-ba59-8d179687b228,AQ Gul,,144,12,With tax,8.33,With tax,,0,12
265760a6-370c-4b0b-a453-e8985ed3c395,Aamchoor Loose Om 240.00,,5,240,With tax,180,With tax,,0,240
b40c9fba-d886-4fad-990d-35be3a63a7a5,Aarati Chawal 80.00,,50,80,With tax,56,With tax,,0,80
46f23977-a5b9-4308-9a14-21f6a3624232,Aashirvaad Atta 10 Kg 405.00,,11,340,Without tax,323.62,Without tax,,0,405
33edb1c6-0006-4f65-9e10-fe8830f1cbfb,Aashirwad Atta 5kg 213.00,,91,175,Without tax,167,Without tax,,0,213
39677007-3088-4cb8-8bf9-f534b86451c3,Achwani Rakesh,,12,60,Without tax,48,Without tax,,0,65
29770856-ce76-414f-9423-fbd13f3553e7,Acid super clean 25.00,,25,15,Without tax,8,Without tax,,0,25
ab633806-b646-42d2-b22c-159b29cb1f41,Acid yellow magic 35.00,,26,25,With tax,14,With tax,,0,35
4de0529c-ab78-4fdd-81b4-1a50d8570918,Act II Popcorn,,100,10,Without tax,8.75,Without tax,,0,10
2fc92324-b028-4891-abf4-974bd85e1974,Act Il Popcorn 10.00,,60,10,Without tax,8.76,Without tax,,0,10
1297cb80-db0b-4e5c-aad9-4d1b86bb27f9,Agni pen 20pic/Pkt 60.00,,10,45,With tax,38,With tax,,0,60
1bc8408a-bf3b-4a63-b4e9-813457ef4dbe,Aim Match Boxes 1pkt 10.00,,100,9,Without tax,7,Without tax,,0,10
4ad60a9c-ec84-43ea-a330-1e8fc2e10e55,Air Pocket 55.00,,15,54,With tax,48.75,With tax,,0,55
941234ef-2daa-4354-b6e2-bd094754da93,Air room sprey 149.00,,6,140,With tax,91.16,With tax,,0,149
9b24f037-e271-4085-855d-89e5ae55d53b,Ajanta Food Colour 7.00,,25,7,With tax,4.2,With tax,,0,7
6a3ebc5d-2148-425b-9c9e-b7a3b63f3d89,Ajay Shaving Brush 55.00,,12,50,With tax,40,With tax,,0,55
c9ebff6a-7403-48f0-b236-7d176fe66099,Ajay brush comfort 11.00,,36,11,With tax,6.66,With tax,,0,11
38398270-967b-4924-8925-828cb0efb99e,Ajay brush junior B.ten,,12,19,With tax,12.5,With tax,,0,20
e8b73370-b8c0-492c-972f-7523e1316f2b,Ajay brush quest,,80,20,With tax,14.86,With tax,,0,22
1cc7f741-3bd2-4b95-843a-a00c7bc8bec7,Ajay brush sensetive,,24,38,Without tax,24,Without tax,,0,40
6e85721f-c4a3-4628-a964-1ef4a5f7b9bd,Alfaa PP,,6,240,With tax,160,With tax,,0,300
4e28455c-de60-4f8e-93c9-a76262975a22,All Out Macine 89.00,,18,86,Without tax,79.25,Without tax,,0,89
226f9273-1faf-4486-b01e-b3f273ba315b,All Out Refill 72.00,,20,70,Without tax,63,Without tax,,0,72
e4be83cb-2983-42e8-a504-c18d77e4e274,Almond Drop Hair Oil 100ml 67.00,,16,64,Without tax,59,Without tax,,0,67
a94aa210-6cc6-42cf-9a11-1db8694f8033,Almond Drop Hair Oil 300 Ml,,8,168,Without tax,148.75,Without tax,,0,175
169d7c02-b38e-4e7c-8b16-4198760d2851,Almond Drop Oil 500ml,,6,270,With tax,238,With tax,,0,280
487c8fed-39d9-4804-8db0-79a32d52705b,Almond Drop Oil 50ml 35.00,,12,34,With tax,29.75,With tax,,0,35
bf1be66f-4fd1-4262-bbb7-4a27e3c4a4b7,Aluminium Foil (Fresh Wrapp) 36mit.,,6,180,Without tax,130,Without tax,,0,185
8a3ffa02-4230-4427-a642-d631dc5b94d5,Aluminium Foil (Freshwrapp) 18mit. 97.00,,6,92,Without tax,75,Without tax,,0,97
6199575a-036f-4b7c-85d9-f211d292b978,Aluminium Foil (Freshwrapp) 500g 295.00,,6,280,Without tax,215,Without tax,,0,295
6d2f5392-c431-4206-b8f2-c6895d441fda,Aluminium Foil (Freshwrapp) 50g,,6,65,Without tax,32,Without tax,,0,70
063bf7f9-a9f0-478a-bef1-dcb998563af7,Aluminium Foil (Freshwrapp) 9 Mtr 71.00,,6,68,Without tax,42,Without tax,,0,71
883163a7-e4e6-4e9c-bc2e-103c657a711f,Aluminium Foil 6mit. (50g) (Sunpack),,8,60,Without tax,26,Without tax,,0,65
54b65741-dce8-4d85-b283-3e0eda118664,Aluminium Foil Freshwrap 36mit. 194.00,,6,185,With tax,135,With tax,,0,194
dab6cd18-846d-4b86-9df9-0b1005baf783,Amnol Jeera,,22,19,With tax,18,With tax,,0,20
67905901-aa73-430b-9aec-a27417656ef8,Amul Butter 100g 48.00,,31,48,Without tax,44,Without tax,,0,48
23955a76-2fc8-4e75-b6c9-8a60d74e3a63,Amul Butter 200g 98.00,,12,98,Without tax,89.76,Without tax,,0,98
346b114c-7303-4474-87b4-43cf2e6f0628,Amul Cheese Cubes 200g 114.00,,6,114,Without tax,104.65,Without tax,,0,114
3a278015-7911-4113-bd86-aa1e6bf1cbba,Amul Cheese Mozzarella 200 Gm 100.00,,10,100,Without tax,91.7,Without tax,,0,100
a65dab92-42a1-4994-8c22-a2ce8ee1176c,Amul Cheese Slices 100 Gm,,20,71,Without tax,65.17,Without tax,,0,71
280dd0f1-a21f-4c35-8b5a-b297838cb3ab,Amul Cheese Slices 100g 71.00,,6,71,Without tax,65.17,Without tax,,0,71
9a420ad6-1247-496a-8e15-e194de8ffa21,Amul Cheese Slices 200g 122.00,,6,122,Without tax,112,Without tax,,0,122
9ad76da3-fc5d-4e7b-966b-4646e53e62b3,Amul Cheese Spread 85.00,,12,85,Without tax,78.2,Without tax,,0,85
cd1f7f5e-7852-4096-88a7-4a889cefbcbd,Amul Chocolate 40g 25.00,,10,25,Without tax,20.82,Without tax,,0,25
5b470644-0d61-469c-b0cb-f6cdddd47b9f,Amul Chocomini 120.00,,6,120,With tax,107.16,With tax,,0,120
6a5fa6a8-4a1d-44f3-a381-b6bbc0506941,Amul Cow Ghee 500 Ml,,12,248,Without tax,228.75,Without tax,,0,250
dbc0d72c-5d3b-4bec-8bd1-d7418b146c03,Amul Dark Chocolate 100.00,,15,100,Without tax,80,Without tax,,0,100
e9d84013-fcec-4b67-97b1-37edf8c7bb05,Amul Dark Chocolate 35 Gm,,15,25,Without tax,20.82,Without tax,,0,25
5a2b1ce3-9337-4d45-b853-c79e61fa6505,Amul Fresh Cream 250ml 63.00,,10,63,Without tax,58.59,Without tax,,0,63
56786269-ed65-4d0a-98c7-aa4782310e66,Amul Gulab Jamun 1kg Tin 220.00,,3,210,Without tax,191.4,Without tax,,0,220
77354f42-1df9-4f6f-9915-7f7f20e7b430,Amul Gulab Jamun 500g Tin,,6,110,Without tax,100,Without tax,,0,110
e8b36449-b889-478c-8c82-bdda9aef91a7,Amul Kool 180 ml,,24,20,Without tax,17.8,Without tax,,0,20
